Y,1.0,0,偽造文書,Y,N,,
Y,0.17,0,偽造文書,Y,N,,
Y,0.58,0,偽造文書,Y,N,,
Y,0.75,0,偽造文書,Y,N,,
Y,0.25,0,偽造文書,N,N,,
Y,0.33,0,偽造文書,N,N,,
Y,0.12,0,偽造文書,N,N,,
Y,0.17,0,偽造文書,N,N,,
Y,0.5,0,偽造文書,N,N,,
Y,0.5,0,偽造文書,N,N,,
Y,0.17,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,0.17,0,偽造文書,N,N,,
N,0.0,0,偽造文書,N,N,,
N,0.0,0,偽造文書,N,N,,
Y,0.33,0,偽造文書,N,N,,
Y,0.75,0,偽造文書,N,N,,
N,0.0,0,偽造文書,N,N,42.0,
Y,0.17,0,偽造文書,N,N,222.0,
Y,2.17,0,偽造文書,N,N,288.0,
Y,1.0,0,偽造文書,N,N,319.0,
Y,0.25,0,偽造文書,N,N,1002.0,
Y,3.67,0,偽造文書,Y,N,1089.0,
N,0.0,0,偽造文書,N,N,1132.0,
Y,0.33,0,偽造文書,N,Y,,
Y,0.17,0,偽造文書,N,N,,
Y,0.33,0,偽造文書,N,N,,
Y,0.5,0,偽造文書,N,N,,
Y,0.5,0,偽造文書,Y,N,,
Y,1.5,0,偽造文書,Y,N,,
Y,2.25,0,偽造文書,N,Y,,
Y,0.36,0,偽造文書,N,N,52.0,
Y,0.83,0,偽造文書,N,N,79.0,
Y,1.5,0,偽造文書,N,N,209.0,
Y,2.0,0,偽造文書,N,N,215.0,
Y,0.33,0,偽造文書,N,N,227.0,
Y,0.5,0,偽造文書,N,Y,,
Y,0.25,0,偽造文書,N,N,,
Y,0.16,0,偽造文書,N,Y,,
Y,0.25,0,偽造文書,N,N,,
Y,2.33,0,偽造文書,N,N,,
Y,0.67,0,偽造文書,N,N,,
Y,1.17,0,偽造文書,N,N,,
Y,0.67,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,2.0,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,0.42,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,0.17,0,偽造文書,N,N,,
Y,1.0,0,偽造文書,N,N,,
Y,0.75,0,偽造文書,N,N,,
Y,0.17,0,偽造文書,N,N,,
Y,0.42,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,2.0,0,偽造文書,N,N,,
Y,1.83,0,偽造文書,N,N,,
Y,0.17,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,0.38,0,偽造文書,N,Y,,
Y,0.33,0,偽造文書,N,Y,,
Y,0.25,0,偽造文書,N,Y,,
Y,0.17,0,偽造文書,N,Y,,
Y,0.17,0,偽造文書,N,Y,,
Y,0.58,0,偽造文書,N,N,,
Y,0.58,0,偽造文書,N,N,,
Y,0.5,0,偽造文書,N,N,,
Y,1.33,0,偽造文書,N,N,,
Y,0.33,0,偽造文書,N,N,,
Y,0.5,0,偽造文書,N,N,,
Y,1.33,0,偽造文書,N,N,,
Y,0.42,0,偽造文書,N,N,,
Y,0.33,0,偽造文書,N,N,,
Y,1.0,0,偽造文書,N,N,,
Y,1.5,0,偽造文書,N,N,,
Y,0.58,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,0.42,0,偽造文書,N,N,,
Y,0.5,0,偽造文書,N,N,,
Y,0.33,0,偽造文書,N,N,,
Y,0.33,0,偽造文書,N,N,,
Y,1.33,100000,偽造文書,N,N,,
Y,0.33,0,偽造文書,N,N,,
Y,0.17,0,偽造文書,N,N,,
Y,1.83,0,偽造文書,N,N,,
Y,0.17,0,偽造文書,N,N,,
Y,0.17,0,偽造文書,N,N,,
Y,0.33,0,偽造文書,N,Y,,
Y,0.25,0,偽造文書,N,Y,,
Y,0.5,0,偽造文書,N,N,,
Y,0.5,0,偽造文書,N,N,,
Y,0.67,0,偽造文書,N,N,,
Y,0.17,0,偽造文書,N,N,,
Y,2.33,0,偽造文書,N,N,,
Y,0.67,0,偽造文書,N,N,,
Y,0.83,0,偽造文書,N,N,,
Y,0.5,0,偽造文書,N,N,,
Y,1.83,0,偽造文書,N,N,,
Y,0.5,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,N,,
Y,0.58,0,偽造文書,N,N,,
Y,0.58,0,偽造文書,N,N,,
Y,1.58,0,偽造文書,N,N,,
Y,0.67,0,偽造文書,N,N,,
Y,0.33,0,偽造文書,N,N,,
Y,0.42,0,偽造文書,N,N,,
Y,0.25,0,偽造文書,N,Y,,
Y,0.25,0,偽造文書,N,Y,,
Y,0.25,0,偽造文書,N,Y,,
Y,0.37,0,偽造文書,N,Y,,
Y,0.42,0,偽造文書,N,N,,
Y,0.08,0,偽造文書,N,Y,,
Y,0.63,0,偽造文書,N,Y,,
Y,1.0,0,偽造文書,N,Y,,
Y,0.08,0,偽造文書,N,Y,,
